u_id	f_id	score	actual name	result name
1083	/m/04cvp70	444.786652	Jones International University	Jones International University
1084	/m/067m9s	314.689301	Judson College	Judson College, Illinois
1085	/m/067m9s	359.312073	Judson University	Judson College, Illinois
1086	/m/017z88	1279.129395	Juilliard School	Juilliard School
1087	/m/0jn57	435.577911	Juniata College	Juniata College
1088	/m/03_kf6	701.703979	Kansas City Art Institute	Kansas City Art Institute
1089	/m/049dk	1171.717651	Kansas State University	Kansas State University
1090	/m/0g3rqx	495.795502	Kansas Wesleyan University	Kansas Wesleyan University
1091	/m/0dbm84	449.491913	Kaplan University	Kaplan University
1092	/m/0bt09t	412.452911	Keiser University	Keiser University
1093	/m/0c06p_	343.556671	Kendall College	Kendall College
1094	/m/02pwzz	693.509338	Kennesaw State University	Kennesaw State University
1095	/m/0b41vt	486.856659	Kentucky Christian University	Kentucky Christian University
1096	/m/065mwy	636.598083	Kentucky State University	Kentucky State University
1097	/m/03p2qq	554.810791	Kentucky Wesleyan College	Kentucky Wesleyan College
1098	/m/02r4zzz	224.981964	Kettering College	Kettering College of Medical Arts
1099	/m/02d3zd	378.413513	Keuka College	Keuka College
1100	/m/0gsyr3	369.171478	Keystone College	Keystone College
1101	/m/0599x9	275.069275	King University	King College
1102	/m/02t20y	119.846947	King's College - Wilkes-Barre, PA	Wilkes University
1103	/m/090985	231.341873	King's College - New York, NY	The King's College, New York
1104	/m/048n4z	646.127991	Kutztown University of Pennsylvania	Kutztown University of Pennsylvania
1105	/m/0cr03v	324.383667	Kuyper College	Kuyper College
1106	/m/06wf4l	501.236572	La Roche College	La Roche College
1107	/m/01rr31	1175.745483	La Salle University	De La Salle University-Manila
1108	/m/076ngd	566.962463	La Sierra University	La Sierra University
1109	/m/03k6_y	396.244629	LaGrange College	LaGrange College
1110	/m/0ggzt3	571.5849	Laguna College of Art and Design	Laguna College of Art and Design
1111	/m/0cbhfb	521.849487	Lake Erie College	Lake Erie College
1112	/m/05cx_7	630.336914	Lake Forest College	Lake Forest College
1113	/m/04t8t7	767.915222	Lake Superior State University	Lake Superior State University
1114	/m/08t4v3	409.06012	Lakeland College	Lakeland College
1115	/m/0clvmz9	381.698151	Lakeview College of Nursing	Lakeview College of Nursing
1116	/m/02xw3x	554.174072	Lamar University	Lamar University
1117	/m/04f2nf	484.230835	Lancaster Bible College	Lancaster Bible College
1118	/m/03598l	386.414551	Lander University	Lander University
1119	/m/02_79b	382.177795	Lane College	Lane College
1120	/m/01lgjy	444.24942	Langston University	Langston University
1121	/m/0btx82	417.378387	Lasell College	Lasell College
1122	/m/035f2w	552.191956	Lawrence Technological University	Lawrence Technological University
1123	/m/01t8lq	506.854828	Lawrence University	Lawrence University
1124	/m/02wc4j	635.888245	Le Moyne College	Le Moyne College
1125	/m/07439d	615.083801	Lebanon Valley College	Lebanon Valley College
1126	/m/03dhkq	447.866852	Lee University	Lee University
1127	/m/0c9xxb	510.709473	Lees-McRae College	Lees-McRae College
1128	/m/02_7bx	514.270752	LeMoyne-Owen College	LeMoyne-Owen College
1129	/m/046l8v	427.32547	Lenoir-Rhyne University	Lenoir-Rhyne College
1130	/m/0986gf	461.728149	Lesley University	Lesley University
1131	/m/01qbqb	410.09848	LeTourneau University	LeTourneau University
1132	/m/01kgkj	661.688721	Lewis & Clark College	Lewis & Clark College
1133	/m/03p311	462.888947	Lewis University	Lewis University
1134	/m/0fxcj	687.733887	Lewis-Clark State College	Lewis-Clark State College
1135	/m/0c7bsd	287.91922	Lexington College	Lexington College
1136	/m/02bpy_	612.753357	Liberty University	Liberty University
1137	/m/07xcwy	437.927917	Life Pacific College	Life Pacific College
1138	/m/07wjk	447.346039	Life University	University of Toronto
1139	/m/02wcn9x	146.357376	LIM College	Laboratory Institute of Merchandising
1140	/m/06rpg5	406.742523	Limestone College	Limestone College
1141	/m/026m8mg	214.167801	Lincoln Christian University	Lincoln Christian College and Seminary
1142	/m/0ym1n	508.964325	Lincoln College	Lincoln College, Oxford
1143	/m/04lbmb	567.837158	Lincoln Memorial University	Lincoln Memorial University
1144	/m/03fmff	483.331543	Lincoln University - Jefferson City, MO	Lincoln University
1145	/m/03fmfs	773.642639	Lincoln University - Lincoln University, PA	Lincoln University
1146	/m/01z3y8	545.463501	Lindenwood University	Lindenwood University
1147	/m/058nht	539.016846	Lindsey Wilson College	Lindsey Wilson College
1148	/m/03bcdd	323.134064	LIU Post	Long Island University C.W. Post Campus
1149	/m/09j7m9	390.257812	Livingstone College	Livingstone College
1150	/m/02p36y	741.218018	Lock Haven University of Pennsylvania	Lock Haven University of Pennsylvania
1151	/m/056gv2	642.315857	Loma Linda University	Loma Linda University
