1648,/m/07dtym,48.578545,University of Arkansas--Little Rock,University of Arkansas at Little Rock,88,,,
1931,/m/02htx3,49.411934,university of maryland eastern shore,University of Maryland Eastern Shore,88,,,
526,/m/03x1yn,49.63752,University of Arkansas--Pine Bluff,University of Arkansas at Pine Bluff,88,,,
1731,/m/03xnv5,53.198284,University of Tennessee--Chattanooga,University of Tennessee at Chattanooga,88,,,
1929,/m/061s54,55.923515,Miami dade college,Miami Dade College,88,,,
1994,/m/0bjqh,58.699745,School of Art Institute of Chicago,School of the Art Institute of Chicago,88,,,
1417,/m/06q47x,60.466282,Richmond--The American International University in London,Richmond American International University,88,,,
1993,/m/02bfj8,82.540016,University of Puerto Rico-Mayaguez,University of Puerto Rico at MayagÌ_ez,88,,,
1995,/m/02bfj8,82.540016,University of Puerto Rico - Mayaguez,University of Puerto Rico at MayagÌ_ez,88,,,
1724,/m/05bf4q,102.012108,"University of St. Francis - Joliet, IL",University of Saint Francis,88,,,
1811,/m/04lbnf,32.565468,West Virginia University--Parkersburg,West Virginia University at Parkersburg,89,,,
1626,/m/0cn158,38.861195,Union Institute and University,Union Institute & University,89,,,
1156,/m/0952mf,39.322929,Louisiana State University--Alexandria,Louisiana State University at Alexandria,89,,,
1696,/m/024gyr,44.7421,University of North Carolina--Pembroke,University of North Carolina at Pembroke,89,,,
1157,/m/01_qcn,46.432281,Louisiana State University--Shreveport,Louisiana State University in Shreveport,89,,,
1260,/m/0919wd,48.340389,Moore College of Art & Design,Moore College of Art and Design,89,,,
497,/m/0164_s,50.452854,University of North Carolina--Asheville,University of North Carolina at Asheville,89,,,
36,/m/024y8p,83.789925,University of North Carolina--Charlotte,University of North Carolina at Charlotte,89,,,
1896,/m/01x0jp,11.703466,St.Edwards University,St. Edward's University,90,TRUE,,
1578,/m/0281l_s,32.559937,SUNY Upstate Medical University,State University of New York Upstate Medical University,90,,,
1666,/m/046099,39.22665,University of Houston--Downtown,University of Houston‰ÛÒDowntown,90,,,
1667,/m/06gh57,39.418056,University of Houston--Victoria,University of Houston‰ÛÒVictoria,90,,,
1792,/m/037s9x,46.590622,Washington and Jefferson College,Washington & Jefferson College,90,,,
665,/m/0bycb2,47.948177,Baptist Bible College and Seminary,Baptist Bible College & Seminary,90,,,
1665,/m/04_7mq,49.758476,University of Houston--Clear Lake,University of Houston‰ÛÒClear Lake,90,,,
1990,/m/01hb1t,50.56319,School of visual arts,School of Visual Arts,90,,,
360,/m/031vm7,52.008362,University of Colorado--Colorado Springs,University of Colorado at Colorado Springs,90,,,
1590,/m/04_f7r,58.074787,Texas A&M University--Kingsville,Texas A&M University‰ÛÒKingsville,90,,,
1983,/m/03v6t,59.259712,Iowa state university,Iowa State University,90,,,
1587,/m/04y6rq,59.408173,Texas A&M University--Commerce,Texas A&M University‰ÛÒCommerce,90,,,
